 A                   546749                   528498   1.1329096966135907E-004       8208 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  2  3  5
 A                   546749                   455598   9.5189441432564316E-005       8208 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  2  4  4
 A                   546749                   546480   3.0037986349462705E-005       8987 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  0  2  4  2  4  5
 A                   546749                   546210   2.9305153965658028E-005       9027 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  1  4  2  4  5
 A                   546749                   545400   5.8599577254508827E-005       9030 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  2  3  2  4  5
 A                   546749                   540540   4.9245401550159828E-006       9121 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  2  4  1  4  5
 A                   546749                   528390   1.7139901843804379E-006       9104 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  2  4  2  3  5
 A                   546749                   455490   2.1423264409017631E-006       9104 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  2  4  2  4  4
 A                   546749                   545940   5.5328598259390244E-006       9067 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  0  4  2  4  5
 A                   546749                   545130   1.2023475498495635E-004       9070 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  3  2  4  5
 A                   546749                   540270   2.3627696351871842E-006       9161 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  4  1  4  5
 A                   546749                   528120   2.0219564167484944E-006       9144 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  4  2  3  5
 A                   546749                   455220   6.9747252705626161E-006       9145 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  4  2  4  4
 A                   546749                   544320   7.1147793358077558E-005       9073 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  2  2  4  5
 A                   546749                   539460   4.7247062962687930E-006       9164 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  3  1  4  5
 A                   546749                   527310   1.0442369155039295E-005       9147 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  3  2  3  5
 A                   546749                   454410   8.6060826384882649E-006       9148 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  3  2  4  4
 A                   546749                   534600   2.0180059253954667E-007       9256 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  0  4  5
 A                   546749                   522450   1.3666566560005642E-007       9238 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  1  3  5
 A                   546749                   449550   1.7081923938442094E-007       9239 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  1  4  4
 A                   546749                   510300   2.9101200929955978E-009       9221 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  2  2  5
 A                   546749                   437400   6.2270865145479774E-007       9222 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  2  3  4
 A                   546749                   364500   1.2743948710412783E-007       9222 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  2  4  3

 F                   546749                   546741   8.1129468052338390E-003       8221 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  1  4  2  2  4  2  4  5
 F                   546749                   546723   1.6362136808577565E-002       8244 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  2  4  5
 F                   546749                   546345   1.0196566849910091E-003       9181 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  4  2  4  5
 F                   546749                   545535   2.0413255987214796E-003       9184 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  3  2  4  5
 A                   546749                   546744   1.6816195458554915E-003       6930 #   1  2  2  4  2  2  4  2  4  5 ->   2  0  2  4  2  2  4  2  4  5
 A                   546749                   546738   1.9406536639223813E-003       7039 #   1  2  2  4  2  2  4  2  4  5 ->   2  1  1  4  2  2  4  2  4  5
 A                   546749                   546720   3.8739204760110642E-003       7062 #   1  2  2  4  2  2  4  2  4  5 ->   2  1  2  3  2  2  4  2  4  5
 A                   546749                   546612   4.5227172284692475E-004       7958 #   1  2  2  4  2  2  4  2  4  5 ->   2  1  2  4  1  2  4  2  4  5
 A                   546749                   546342   2.5163652971257216E-004       7998 #   1  2  2  4  2  2  4  2  4  5 ->   2  1  2  4  2  1  4  2  4  5
 A                   546749                   545532   5.0315260138449535E-004       8001 #   1  2  2  4  2  2  4  2  4  5 ->   2  1  2  4  2  2  3  2  4  5
 A                   546749                   540672   3.7127947565920638E-005       8093 #   1  2  2  4  2  2  4  2  4  5 ->   2  1  2  4  2  2  4  1  4  5
 A                   546749                   528522   1.6211941304503864E-005       8075 #   1  2  2  4  2  2  4  2  4  5 ->   2  1  2  4  2  2  4  2  3  5
 A                   546749                   455622   2.0263362035463602E-005       8076 #   1  2  2  4  2  2  4  2  4  5 ->   2  1  2  4  2  2  4  2  4  4
 A                   546749                   546732   3.8143282322722935E-004       7148 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  0  4  2  2  4  2  4  5
 A                   546749                   546714   9.4817029033185604E-003       7171 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  1  3  2  2  4  2  4  5
 A                   546749                   546606   2.2525122654207524E-004       8067 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  1  4  1  2  4  2  4  5
 A                   546749                   546336   9.4177652999068178E-005       8108 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  1  4  2  1  4  2  4  5
 A                   546749                   545526   1.0656831841012119E-003       8111 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  1  4  2  2  3  2  4  5
 A                   546749                   540666   1.8155804454907878E-005       8202 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  1  4  2  2  4  1  4  5
 A                   546749                   528516   2.3401053992432438E-005       8185 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  1  4  2  2  4  2  3  5
 A                   546749                   455616   7.5851922984250623E-005       8185 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  1  4  2  2  4  2  4  4
 A                   546749                   546696   5.4783964980034934E-003       7194 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  2  2  2  4  2  4  5
 A                   546749                   546588   4.4987762346007047E-004       8090 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  1  2  4  2  4  5
 A                   546749                   546318   1.0625239567543061E-003       8131 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  2  1  4  2  4  5
 A                   546749                   545508   1.2495079443449646E-003       8134 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  2  2  3  2  4  5
 A                   546749                   540648   3.6263645733201185E-005       8225 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  1  4  5
 A                   546749                   528498   1.1329096966135907E-004       8208 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  2  3  5
 A                   546749                   455598   9.5189441432564316E-005       8208 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  2  4  4
 A                   546749                   546480   3.0037986349462705E-005       8987 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  0  2  4  2  4  5
 A                   546749                   546210   2.9305153965658028E-005       9027 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  1  4  2  4  5
 A                   546749                   545400   5.8599577254508827E-005       9030 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  2  3  2  4  5
 A                   546749                   540540   4.9245401550159828E-006       9121 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  2  4  1  4  5
 A                   546749                   528390   1.7139901843804379E-006       9104 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  2  4  2  3  5
 A                   546749                   455490   2.1423264409017631E-006       9104 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  1  2  4  2  4  4
 A                   546749                   545940   5.5328598259390244E-006       9067 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  0  4  2  4  5
 A                   546749                   545130   1.2023475498495635E-004       9070 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  3  2  4  5
 A                   546749                   540270   2.3627696351871842E-006       9161 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  4  1  4  5
 A                   546749                   528120   2.0219564167484944E-006       9144 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  4  2  3  5
 A                   546749                   455220   6.9747252705626161E-006       9145 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  1  4  2  4  4
 A                   546749                   544320   7.1147793358077558E-005       9073 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  2  2  4  5
 A                   546749                   539460   4.7247062962687930E-006       9164 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  3  1  4  5
